"Edicao (PTBR)","Edicao (EN)","Edicao (Sigla)","Card (PT)","Card (EN)",Quantidade,"Qualidade (M NM SP MP HP D)","Idioma (BR EN DE ES FR IT JP KO RU TW)",Raridade,"Cor (C D O E Y F R G L M P W)",Extras,"Card #",Comentario,"# Cards na Edicao"
,Gothic,GOTH,,"Blaze of Glory",,,,UN,F,,GOTH-0050,,
,Gothic,GOTH,,"Bleeding Skull",,,,EL,0,,GOTH-0051,,
,Gothic,GOTH,,Bless,,,,O,E,,GOTH-0052,,
,Gothic,GOTH,,"Blessed Village",,,,O,0,,GOTH-0053,,
,Gothic,GOTH,,"Blessed Well",,,,O,0,,GOTH-0054,,
,Gothic,GOTH,,Blightstone,,,,EL,0,,GOTH-0055,,
,Gothic,GOTH,,"Blood Mana",,,,UN,F,,GOTH-0056,,
,Gothic,GOTH,,"Bodach Bogeyman",,,,UN,F,,GOTH-0057,,
,Gothic,GOTH,,"Bone Jumble",,,,EX,A,,GOTH-0058,,
,Gothic,GOTH,,"Bone Spear",,,,O,A,,GOTH-0059,,
,Gothic,GOTH,,"Book Burners",,,,EL,F,,GOTH-0060,,
,Gothic,GOTH,,"Book of Blessings",,,,UN,0,,GOTH-0061,,
,Gothic,GOTH,,"Book of the Dead",,,,UN,0,,GOTH-0062,,
,Gothic,GOTH,,"Boulevard of Bones",,,,EL,0,,GOTH-0063,,
,Gothic,GOTH,,"Bound Spirit",,,,O,A,,GOTH-0064,,
,Gothic,GOTH,,"Broomstick Witch",,,,O,A,,GOTH-0065,,
,Gothic,GOTH,,"Bull Whip",,,,EX,0,,GOTH-0066,,
,Gothic,GOTH,,"Bureau of Occult Control",,,,EL,0,,GOTH-0067,,
,Gothic,GOTH,,"Buried Alive",,,,O,E,,GOTH-0068,,
,Gothic,GOTH,,"Cage of Sidrak",,,,UN,0,,GOTH-0069,,
,Gothic,GOTH,,"Call of the Sea",,,,EL,W,,GOTH-0070,,
,Gothic,GOTH,,"Carrion Beetles",,,,O,E,,GOTH-0071,,
,Gothic,GOTH,,Carrionette,,,,EX,A,,GOTH-0072,,
,Gothic,GOTH,,"Cemetery Rats",,,,O,E,,GOTH-0073,,
,Gothic,GOTH,,Chaoswish,,,,UN,0,,GOTH-0074,,
,Gothic,GOTH,,"Char Omphalos",,,,UN,0,,GOTH-0075,,
,Gothic,GOTH,,Cherubim,,,,EL,F,,GOTH-0076,,
,Gothic,GOTH,,"Chorus of Condemnation",,,,UN,A,,GOTH-0077,,
,Gothic,GOTH,,"City of Glass",,,,UN,0,,GOTH-0078,,
,Gothic,GOTH,,"City of Plenty",,,,UN,0,,GOTH-0079,,
,Gothic,GOTH,,"City of Souls",,,,UN,0,,GOTH-0080,,
,Gothic,GOTH,,"City of Traitors",,,,UN,0,,GOTH-0081,,
,Gothic,GOTH,,Clairvoyant,,,,EL,A,,GOTH-0082,,
,Gothic,GOTH,,"Clay Golem",,,,EX,0,,GOTH-0083,,
,Gothic,GOTH,,Consecrate,,,,EX,E,,GOTH-0084,,
,Gothic,GOTH,,"Consecrated Ground",,,,EX,0,,GOTH-0085,,
,Gothic,GOTH,,"Corpse Catapult",,,,EL,0,,GOTH-0086,,
,Gothic,GOTH,,"Corpse Explosion",,,,EL,F,,GOTH-0087,,
,Gothic,GOTH,,Corruptor,,,,None,0,,GOTH-0088,,
,Gothic,GOTH,,"Corruptor Freak",,,,EX,F,,GOTH-0089,,
,Gothic,GOTH,,"Cranky Overseer",,,,EL,F,,GOTH-0090,,
,Gothic,GOTH,,Crawler,,,,O,E,,GOTH-0091,,
,Gothic,GOTH,,"Crawling Congregation",,,,EL,E,,GOTH-0092,,
,Gothic,GOTH,,"Croaking Swamp",,,,O,0,,GOTH-0093,,
,Gothic,GOTH,,"Croll Morlocks",,,,EX,E,,GOTH-0094,,
,Gothic,GOTH,,Crucifix,,,,EL,0,,GOTH-0095,,
,Gothic,GOTH,,"Cursed Iron",,,,EL,F,,GOTH-0096,,
,Gothic,GOTH,,"Dank Omphalos",,,,UN,0,,GOTH-0097,,
,Gothic,GOTH,,"Dark Alley",,,,EX,0,,GOTH-0098,,
,Gothic,GOTH,,"Darkest Dungeon",,,,UN,0,,GOTH-0099,,
,Gothic,GOTH,,"Day of Judgment",,,,UN,F,,GOTH-0100,,
,Gothic,GOTH,,"De Vermis Mysteriis",,,,UN,0,,GOTH-0101,,
,Gothic,GOTH,,"Death Knight",,,,EX,E,,GOTH-0102,,
,Gothic,GOTH,,Deathwish,,,,UN,0,,GOTH-0103,,
,Gothic,GOTH,,"Deep Sea",,,,EX,0,,GOTH-0104,,
,Gothic,GOTH,,"Defiler Spire",,,,UN,0,,GOTH-0105,,
,Gothic,GOTH,,Deliverance,,,,UN,E,,GOTH-0106,,
,Gothic,GOTH,,"Demon Hunter",,,,EX,W,,GOTH-0107,,
,Gothic,GOTH,,"Demonic Contract",,,,EL,F,,GOTH-0108,,
,Gothic,GOTH,,"Den of Evil",,,,O,0,,GOTH-0109,,
,Gothic,GOTH,,Desecrate,,,,EX,A,,GOTH-0110,,
,Gothic,GOTH,,"Desecrated Ground",,,,EX,0,,GOTH-0111,,
,Gothic,GOTH,,"Desecrator Kite",,,,O,A,,GOTH-0112,,
,Gothic,GOTH,,"Desert Bloom",,,,O,0,,GOTH-0113,,
,Gothic,GOTH,,Detonate,,,,O,F,,GOTH-0114,,
,Gothic,GOTH,,"Dhol Chants",,,,EL,A,,GOTH-0115,,
,Gothic,GOTH,,Displace,,,,O,A,,GOTH-0116,,
,Gothic,GOTH,,"Divine Intervention",,,,UN,0,,GOTH-0117,,
,Gothic,GOTH,,"Divine Lance",,,,EL,E,,GOTH-0118,,
,Gothic,GOTH,,"Doctor Demetrius",,,,UN,W,,GOTH-0119,,
,Gothic,GOTH,,"Doomsday Cult",,,,EL,F,,GOTH-0120,,
,Gothic,GOTH,,"Dormant Monstrosity",,,,EL,W,,GOTH-0121,,
,Gothic,GOTH,,"Draconian Bonekite",,,,UN,A,,GOTH-0122,,
,Gothic,GOTH,,"Dread Thicket",,,,EL,0,,GOTH-0123,,
,Gothic,GOTH,,Dreadwing,,,,O,A,,GOTH-0124,,
,Gothic,GOTH,,Dredge,,,,EX,W,,GOTH-0125,,
,Gothic,GOTH,,"Driftwood Marrows",,,,EX,0,,GOTH-0126,,
,Gothic,GOTH,,Drowned,,,,O,W,,GOTH-0127,,
,Gothic,GOTH,,Duplicator,,,,None,0,,GOTH-0128,,
,Gothic,GOTH,,"Earl of the Ivory Towers",,,,EL,A,,GOTH-0129,,
,Gothic,GOTH,,Eclipse,,,,UN,A,,GOTH-0130,,
,Gothic,GOTH,,"Eerie Coral",,,,EX,0,,GOTH-0131,,
,Gothic,GOTH,,"Elder Ruins",,,,EL,0,,GOTH-0132,,
,Gothic,GOTH,,"Eltham Townsfolk",,,,O,E,,GOTH-0133,,
,Gothic,GOTH,,"Endless Fence",,,,UN,0,,GOTH-0134,,
,Gothic,GOTH,,"Enduring Faith",,,,EX,E,,GOTH-0135,,
,Gothic,GOTH,,"Enraged Familiar",,,,O,F,,GOTH-0136,,
,Gothic,GOTH,,Entombed,,,,O,E,,GOTH-0137,,
,Gothic,GOTH,,"Ersatz Platz",,,,EL,0,,GOTH-0138,,
,Gothic,GOTH,,"Estranged Loner",,,,EX,W,,GOTH-0139,,
,Gothic,GOTH,,"Ether Core",,,,UN,0,,GOTH-0140,,
,Gothic,GOTH,,"Evil Twin",,,,UN,W,,GOTH-0141,,
,Gothic,GOTH,,Exhume,,,,EX,E,,GOTH-0142,,
,Gothic,GOTH,,"Failed Mutation",,,,EX,W,,GOTH-0143,,
,Gothic,GOTH,,"Faith Incarnate",,,,EL,E,,GOTH-0144,,
,Gothic,GOTH,,"Fallen Angel",,,,EX,F,,GOTH-0145,,
,Gothic,GOTH,,"Falling Star",,,,EL,A,,GOTH-0146,,
,Gothic,GOTH,,"False Idol",,,,EL,0,,GOTH-0147,,
,Gothic,GOTH,,Fatality,,,,EX,0,,GOTH-0148,,
,Gothic,GOTH,,"Feign Death",,,,EX,W,,GOTH-0149,,
,Gothic,GOTH,,"Ferryman's Coin",,,,EX,0,,GOTH-0150,,
,Gothic,GOTH,,"Fertile Earth",,,,EX,0,,GOTH-0151,,
,Gothic,GOTH,,"Fields of Phyxis",,,,EX,0,,GOTH-0152,,
,Gothic,GOTH,,Flagellant,,,,EX,F,,GOTH-0153,,
,Gothic,GOTH,,"Flame of the First Ones",,,,UN,0,,GOTH-0155,,
,Gothic,GOTH,,"Flame Strike",,,,O,F,,GOTH-0154,,
,Gothic,GOTH,,"Flaming Skull",,,,O,F,,GOTH-0156,,
,Gothic,GOTH,,Flayer,,,,O,F,,GOTH-0157,,
,Gothic,GOTH,,"Forgotten Tomb",,,,EL,0,,GOTH-0158,,
,Gothic,GOTH,,"Forlorn Keep",,,,EX,0,,GOTH-0159,,
,Gothic,GOTH,,Forsaken,,,,O,A,,GOTH-0160,,
,Gothic,GOTH,,"Forsaken Crypt",,,,EX,0,,GOTH-0161,,
,Gothic,GOTH,,"Four Fat Frogs",,,,EX,W,,GOTH-0162,,
,Gothic,GOTH,,"Fowl Bones",,,,O,A,,GOTH-0163,,
,Gothic,GOTH,,Freeze,,,,O,W,,GOTH-0164,,
,Gothic,GOTH,,"Frozen Horror",,,,EX,W,,GOTH-0165,,
,Gothic,GOTH,,"Garden of Eden",,,,UN,0,,GOTH-0166,,
,Gothic,GOTH,,Gargantula,,,,EL,E,,GOTH-0167,,
,Gothic,GOTH,,"Ghost Town",,,,EX,0,,GOTH-0168,,
,Gothic,GOTH,,Ghostfire,,,,O,F,,GOTH-0169,,
,Gothic,GOTH,,Ghoul,,,,O,A,,GOTH-0170,,
,Gothic,GOTH,,"Gibbous Nightgaunts",,,,EX,A,,GOTH-0171,,
,Gothic,GOTH,,"Gift of the Frog",,,,O,W,,GOTH-0172,,
,Gothic,GOTH,,"Gift of the Raven",,,,O,A,,GOTH-0173,,
,Gothic,GOTH,,"Gift of the Serpent",,,,O,F,,GOTH-0174,,
,Gothic,GOTH,,"Gift of the Wolf",,,,O,E,,GOTH-0175,,
,Gothic,GOTH,,"Gilman House",,,,UN,0,,GOTH-0176,,
,Gothic,GOTH,,"Gloam Toads",,,,EL,W,,GOTH-0177,,
,Gothic,GOTH,,"Gnarled Wendigo",,,,EX,W,,GOTH-0178,,
,Gothic,GOTH,,"Goat for Azazel",,,,UN,E,,GOTH-0179,,
,Gothic,GOTH,,"Golden Dawn",,,,UN,E,,GOTH-0180,,
,Gothic,GOTH,,Golgor,,,,EL,F,,GOTH-0181,,
,Gothic,GOTH,,"Gossamer Ghost",,,,O,A,,GOTH-0182,,
,Gothic,GOTH,,"Granary Rats",,,,O,F,,GOTH-0183,,
,Gothic,GOTH,,"Grasping Ground",,,,EL,E,,GOTH-0184,,
,Gothic,GOTH,,Gravedigger,,,,EX,E,,GOTH-0185,,
,Gothic,GOTH,,"Greater Blood Demon",,,,EL,F,,GOTH-0186,,
,Gothic,GOTH,,"Grief Larvae",,,,O,F,,GOTH-0187,,
,Gothic,GOTH,,"Grigori Rasputin",,,,UN,F,,GOTH-0188,,
,Gothic,GOTH,,"Guardian Angel",,,,EX,E,,GOTH-0189,,
,Gothic,GOTH,,"Hand of Glory",,,,EX,0,,GOTH-0190,,
,Gothic,GOTH,,Harbinger,,,,None,0,,GOTH-0191,,
,Gothic,GOTH,,"Harpyon Urge",,,,EX,F,,GOTH-0192,,
,Gothic,GOTH,,"Harvest Festival",,,,EX,0,,GOTH-0193,,
,Gothic,GOTH,,"Hauntless Head",,,,EX,A,,GOTH-0194,,
,Gothic,GOTH,,Haystack,,,,EX,0,,GOTH-0195,,
,Gothic,GOTH,,"Hearkening Kraken",,,,EX,W,,GOTH-0196,,
,Gothic,GOTH,,"Heirloom Lost",,,,EL,0,,GOTH-0197,,
,Gothic,GOTH,,Hellfire,,,,EL,F,,GOTH-0198,,
,Gothic,GOTH,,Hellhounds,,,,O,F,,GOTH-0199,,
,Gothic,GOTH,,Hellmouth,,,,UN,0,,GOTH-0200,,
,Gothic,GOTH,,Hellstar,,,,UN,F,,GOTH-0201,,
,Gothic,GOTH,,Hemogoblet,,,,EL,0,,GOTH-0202,,
,Gothic,GOTH,,Hemogoblin,,,,EL,F,,GOTH-0203,,
,Gothic,GOTH,,Hemogolem,,,,EL,0,,GOTH-0204,,
,Gothic,GOTH,,"Heretics of Seth",,,,EX,W,,GOTH-0205,,
,Gothic,GOTH,,"Hillside Chapel",,,,O,0,,GOTH-0206,,
,Gothic,GOTH,,"Hollow One",,,,EX,A,,GOTH-0207,,
,Gothic,GOTH,,"Holy Nova",,,,EX,E,,GOTH-0208,,
,Gothic,GOTH,,"Holy Warrior",,,,O,E,,GOTH-0209,,
,Gothic,GOTH,,"Holy Water",,,,EX,0,,GOTH-0210,,
,Gothic,GOTH,,Homecoming,,,,EL,E,,GOTH-0211,,
,Gothic,GOTH,,"Horns of Behemoth",,,,UN,0,,GOTH-0212,,
,Gothic,GOTH,,"Horrible Hybrids",,,,O,W,,GOTH-0213,,
,Gothic,GOTH,,Hotwheel,,,,EX,F,,GOTH-0214,,
,Gothic,GOTH,,"Howl from Beyond",,,,UN,W,,GOTH-0215,,
,Gothic,GOTH,,Hyperparasite,,,,EL,W,,GOTH-0216,,
,Gothic,GOTH,,"I Am Colossus!",,,,UN,0,,GOTH-0217,,
,Gothic,GOTH,,"Ice Shards",,,,O,W,,GOTH-0218,,
,Gothic,GOTH,,Ignited,,,,O,F,,GOTH-0219,,
,Gothic,GOTH,,Imposter,,,,None,0,,GOTH-0220,,
,Gothic,GOTH,,"Infusion Factory",,,,EL,0,,GOTH-0221,,
,Gothic,GOTH,,"Innsmouth Dock",,,,UN,0,,GOTH-0222,,
,Gothic,GOTH,,"Instigator Imp",,,,O,W,,GOTH-0223,,
,Gothic,GOTH,,Interrogator,,,,None,0,,GOTH-0224,,
,Gothic,GOTH,,"Into the Abyss",,,,EL,W,,GOTH-0225,,
,Gothic,GOTH,,"Intrepid Hero",,,,EX,E,,GOTH-0226,,
,Gothic,GOTH,,Invigorate,,,,EX,0,,GOTH-0227,,
,Gothic,GOTH,,"Iron Maiden",,,,EL,0,,GOTH-0228,,
,Gothic,GOTH,,Ironclad,,,,None,0,,GOTH-0229,,
,Gothic,GOTH,,"Jack the Ripper",,,,UN,A,,GOTH-0230,,
,Gothic,GOTH,,"Key to the City",,,,UN,0,,GOTH-0231,,
,Gothic,GOTH,,"Khamaseen Mummy",,,,EX,F,,GOTH-0232,,
,Gothic,GOTH,,"Kiss of Death",,,,EX,A,,GOTH-0233,,
,Gothic,GOTH,,"Kiss of Judas",,,,UN,W,,GOTH-0234,,
,Gothic,GOTH,,"Kissers of Wounds",,,,EX,E,,GOTH-0235,,
,Gothic,GOTH,,"Kor Crematory",,,,UN,0,,GOTH-0236,,
,Gothic,GOTH,,"Koschei's Egg",,,,UN,0,,GOTH-0237,,
,Gothic,GOTH,,"Lacuna Entity",,,,EL,W,,GOTH-0238,,
,Gothic,GOTH,,Landmass,,,,O,E,,GOTH-0239,,
,Gothic,GOTH,,Lash,,,,O,F,,GOTH-0240,,
,Gothic,GOTH,,Leadworks,,,,O,0,,GOTH-0241,,
,Gothic,GOTH,,"Legion of Gall",,,,EL,A,,GOTH-0242,,
,Gothic,GOTH,,"Lesser Blood Demon",,,,O,F,,GOTH-0243,,
,Gothic,GOTH,,Lifewish,,,,UN,0,,GOTH-0244,,
,Gothic,GOTH,,Lilith,,,,UN,W,,GOTH-0245,,
,Gothic,GOTH,,"Locusts of Illyria",,,,UN,F,,GOTH-0246,,
,Gothic,GOTH,,"Lord of Destruction",,,,EL,F,,GOTH-0247,,
,Gothic,GOTH,,"Lord of Fear",,,,EL,A,,GOTH-0248,,
,Gothic,GOTH,,"Lord of Greed",,,,EL,E,,GOTH-0249,,
,Gothic,GOTH,,"Lord of Lies",,,,EL,W,,GOTH-0250,,
,Gothic,GOTH,,"Lucid Dreamers",,,,EL,W,,GOTH-0251,,
,Gothic,GOTH,,Lure,,,,O,W,,GOTH-0252,,
,Gothic,GOTH,,Magician,,,,None,0,,GOTH-0253,,
,Gothic,GOTH,,"Maiden, Mother, Crone",,,,UN,W,,GOTH-0254,,
,Gothic,GOTH,,"Makeshift Barricade",,,,O,0,,GOTH-0255,,
,Gothic,GOTH,,Malakhim,,,,EL,E,,GOTH-0256,,
,Gothic,GOTH,,"Mandrake Jars",,,,EX,0,,GOTH-0257,,
,Gothic,GOTH,,"Martyrs of Tomorrow",,,,O,F,,GOTH-0258,,
,Gothic,GOTH,,"Master Necromancer",,,,EL,A,,GOTH-0259,,
,Gothic,GOTH,,"Mayor of Milborne",,,,EL,E,,GOTH-0260,,
,Gothic,GOTH,,"Mazuj Ifrit",,,,EL,F,,GOTH-0261,,
,Gothic,GOTH,,"Meat Hook",,,,EX,0,,GOTH-0262,,
,Gothic,GOTH,,Megalurker,,,,EL,E,,GOTH-0263,,
,Gothic,GOTH,,Mephistopheles,,,,UN,A,,GOTH-0264,,
,Gothic,GOTH,,"Mesmer Demon",,,,O,W,,GOTH-0265,,
,Gothic,GOTH,,Mimic,,,,EX,W,,GOTH-0266,,
,Gothic,GOTH,,"Mismanaged Mortuary",,,,EL,0,,GOTH-0267,,
,Gothic,GOTH,,"Molten Maar",,,,EX,0,,GOTH-0268,,
,Gothic,GOTH,,"Monks of Kobalsa",,,,O,E,,GOTH-0269,,
,Gothic,GOTH,,Monstermorphosis,,,,EX,W,,GOTH-0270,,
,Gothic,GOTH,,"Mortal Soil",,,,EL,E,,GOTH-0271,,
,Gothic,GOTH,,"Moss Troll",,,,O,W,,GOTH-0272,,
,Gothic,GOTH,,"Mount Ussar Sanctuary",,,,UN,0,,GOTH-0273,,
,Gothic,GOTH,,"Mountain Peaks",,,,EX,0,,GOTH-0274,,
,Gothic,GOTH,,"Mover of Mountains",,,,UN,E,,GOTH-0275,,
,Gothic,GOTH,,"Muddy Pigs",,,,O,W,,GOTH-0276,,
,Gothic,GOTH,,Mudslide,,,,EX,0,,GOTH-0277,,
,Gothic,GOTH,,"Murder of Crows",,,,O,A,,GOTH-0278,,
,Gothic,GOTH,,"Myrrh's Trophy Room",,,,UN,0,,GOTH-0279,,
,Gothic,GOTH,,"Nadir Seed",,,,EL,0,,GOTH-0280,,
,Gothic,GOTH,,Necromancer,,,,None,0,,GOTH-0281,,
,Gothic,GOTH,,Necronomiconcert,,,,EL,A,,GOTH-0282,,
,Gothic,GOTH,,Necropotence,,,,EX,E,,GOTH-0283,,
,Gothic,GOTH,,Nightwatchmen,,,,O,E,,GOTH-0284,,
,Gothic,GOTH,,"No Man's Land",,,,EL,0,,GOTH-0285,,
,Gothic,GOTH,,"Noisome Twosome",,,,O,E,,GOTH-0286,,
,Gothic,GOTH,,"Nommo Monitor",,,,EX,W,,GOTH-0287,,
,Gothic,GOTH,,Nosferatu,,,,UN,A,,GOTH-0288,,
,Gothic,GOTH,,"Novice Necromancer",,,,O,A,,GOTH-0289,,
,Gothic,GOTH,,"Noxious Corpse",,,,O,F,,GOTH-0290,,
,Gothic,GOTH,,"Old Mortimer's Den",,,,UN,0,,GOTH-0291,,
,Gothic,GOTH,,"One-shot Wizard",,,,O,F,,GOTH-0292,,
,Gothic,GOTH,,Onslaught,,,,EX,0,,GOTH-0293,,
,Gothic,GOTH,,"Open Grave",,,,O,0,,GOTH-0294,,
,Gothic,GOTH,,"Open Mausoleum",,,,O,0,,GOTH-0295,,
,Gothic,GOTH,,Ophanim,,,,EL,A,,GOTH-0296,,
,Gothic,GOTH,,"Order of the Pale Worm",,,,EX,A,,GOTH-0297,,
,Gothic,GOTH,,"Order of the Sacred Oak",,,,EX,W,,GOTH-0298,,
,Gothic,GOTH,,"Order of the White Wing",,,,EX,E,,GOTH-0299,,
,Gothic,GOTH,,"Orm Infestor",,,,EL,W,,GOTH-0300,,
,Gothic,GOTH,,"Orpheus' Crossing",,,,UN,0,,GOTH-0301,,
,Gothic,GOTH,,Overflow,,,,O,W,,GOTH-0302,,
,Gothic,GOTH,,"Paladins of Bazia",,,,EL,E,,GOTH-0303,,
,Gothic,GOTH,,"Panpipes of Pnom",,,,EL,0,,GOTH-0304,,
,Gothic,GOTH,,"Peace Offering",,,,UN,E,,GOTH-0305,,
,Gothic,GOTH,,"Peacemaker Arbalest",,,,EL,0,,GOTH-0306,,
,Gothic,GOTH,,"Peculiar Port",,,,EX,0,,GOTH-0307,,
,Gothic,GOTH,,"Penitent Knight",,,,O,E,,GOTH-0308,,
,Gothic,GOTH,,Persecutor,,,,None,0,,GOTH-0309,,
,Gothic,GOTH,,"Pied Piper of Hameln",,,,UN,W,,GOTH-0310,,
,Gothic,GOTH,,"Pile of Skulls",,,,EX,0,,GOTH-0311,,
,Gothic,GOTH,,"Pilgrim's Shrine",,,,EL,0,,GOTH-0312,,
,Gothic,GOTH,,"Pith Imp",,,,O,A,,GOTH-0313,,
,Gothic,GOTH,,"Plague Pits",,,,EL,0,,GOTH-0314,,
,Gothic,GOTH,,"Plague Rat",,,,O,A,,GOTH-0315,,
,Gothic,GOTH,,"Plate of the Whale",,,,UN,0,,GOTH-0316,,
,Gothic,GOTH,,Powerwish,,,,UN,0,,GOTH-0317,,
,Gothic,GOTH,,"Profane Revenant",,,,O,F,,GOTH-0318,,
,Gothic,GOTH,,Purgatory,,,,UN,0,,GOTH-0319,,
,Gothic,GOTH,,"Putrid Presence",,,,UN,W,,GOTH-0320,,
,Gothic,GOTH,,"Raise Militia",,,,O,A,,GOTH-0321,,
,Gothic,GOTH,,"Rat King",,,,EL,E,,GOTH-0322,,
,Gothic,GOTH,,"Ravenous Werewolf",,,,O,F,,GOTH-0323,,
,Gothic,GOTH,,Raze,,,,EX,F,,GOTH-0324,,
,Gothic,GOTH,,Realm-Eater,,,,None,0,,GOTH-0325,,
,Gothic,GOTH,,"Red Rock of Ravannis",,,,UN,0,,GOTH-0326,,
,Gothic,GOTH,,"Redmane Hyena",,,,EX,F,,GOTH-0327,,
,Gothic,GOTH,,Regurgitator,,,,EL,W,,GOTH-0328,,
,Gothic,GOTH,,"Release the Hounds",,,,EL,F,,GOTH-0329,,
,Gothic,GOTH,,"Renatus Trueblood",,,,EL,A,,GOTH-0330,,
,Gothic,GOTH,,"Return to Nature",,,,O,W,,GOTH-0331,,
,Gothic,GOTH,,"Returned King",,,,UN,E,,GOTH-0332,,
,Gothic,GOTH,,"Revered Revenant",,,,O,E,,GOTH-0333,,
,Gothic,GOTH,,"River of Blood",,,,EX,0,,GOTH-0335,,
,Gothic,GOTH,,"River Rapids",,,,EL,0,,GOTH-0334,,
,Gothic,GOTH,,"Road to Perdition",,,,EX,0,,GOTH-0336,,
,Gothic,GOTH,,"Rowdy Boys",,,,EX,E,,GOTH-0337,,
,Gothic,GOTH,,Rubble,,,,None,0,,GOTH-0338,,
,Gothic,GOTH,,"Sacred Stag",,,,EL,W,,GOTH-0339,,
,Gothic,GOTH,,"Saint of Redemption",,,,UN,E,,GOTH-0340,,
,Gothic,GOTH,,Saintweald,,,,UN,0,,GOTH-0341,,
,Gothic,GOTH,,"Salt the Earth",,,,UN,F,,GOTH-0342,,
,Gothic,GOTH,,"Satanic Panic",,,,UN,F,,GOTH-0343,,
,Gothic,GOTH,,Savior,,,,None,0,,GOTH-0344,,
,Gothic,GOTH,,Sawbones,,,,EL,E,,GOTH-0345,,
,Gothic,GOTH,,Scatter,,,,EX,0,,GOTH-0346,,
,Gothic,GOTH,,Screamer,,,,O,A,,GOTH-0347,,
