"Edicao (PTBR)","Edicao (EN)","Edicao (Sigla)","Card (PT)","Card (EN)",Quantidade,"Qualidade (M NM SP MP HP D)","Idioma (BR EN DE ES FR IT JP KO RU TW)",Raridade,"Cor (C D O E Y F R G L M P W)",Extras,"Card #",Comentario,"# Cards na Edicao"
,"Arthurian Legends",ARLE,,"Burning Hands",,,,O,F,,ARLE-0028,,
,"Arthurian Legends",ARLE,,Caerleon-Upon-Usk,,,,UN,0,,ARLE-0029,,
,"Arthurian Legends",ARLE,,Camelot,,,,UN,0,,ARLE-0030,,
,"Arthurian Legends",ARLE,,"Cast into Exile",,,,EX,A,,ARLE-0031,,
,"Arthurian Legends",ARLE,,"Castle Haunt",,,,EX,A,,ARLE-0032,,
,"Arthurian Legends",ARLE,,"Castle Servants",,,,O,A,,ARLE-0033,,
,"Arthurian Legends",ARLE,,"Castle's Ablaze!",,,,EL,F,,ARLE-0034,,
,"Arthurian Legends",ARLE,,Charge,,,,O,F,,ARLE-0035,,
,"Arthurian Legends",ARLE,,"Cold Iron Rod",,,,EX,0,,ARLE-0036,,
,"Arthurian Legends",ARLE,,"Common Cottagers",,,,O,E,,ARLE-0037,,
,"Arthurian Legends",ARLE,,"Common Village",,,,O,E,,ARLE-0038,,
,"Arthurian Legends",ARLE,,"Coy Nixie",,,,EX,W,,ARLE-0039,,
,"Arthurian Legends",ARLE,,"Cursed Land",,,,EL,F,,ARLE-0040,,
,"Arthurian Legends",ARLE,,"Dame Britomart",,,,UN,0,,ARLE-0041,,
,"Arthurian Legends",ARLE,,Degradation,,,,EX,W,,ARLE-0042,,
,"Arthurian Legends",ARLE,,"Dirium Fomorians",,,,EX,E,,ARLE-0043,,
,"Arthurian Legends",ARLE,,"Dozmary Pool",,,,UN,W,,ARLE-0044,,
,"Arthurian Legends",ARLE,,"Druid (Box Topper)",,,,EL,0,,ARLE-0222,,
,"Arthurian Legends",ARLE,,Duel,,,,O,E,,ARLE-0045,,
,"Arthurian Legends",ARLE,,Excalibur,,,,UN,0,,ARLE-0046,,
,"Arthurian Legends",ARLE,,"Fae City",,,,EX,A,,ARLE-0047,,
,"Arthurian Legends",ARLE,,"Fail-not Bow",,,,UN,0,,ARLE-0048,,
,"Arthurian Legends",ARLE,,"Feast for Crows",,,,UN,A,,ARLE-0049,,
,"Arthurian Legends",ARLE,,"Field Laborers",,,,O,E,,ARLE-0050,,
,"Arthurian Legends",ARLE,,"Fields of Camlann",,,,UN,F,,ARLE-0051,,
,"Arthurian Legends",ARLE,,"Fine Courser",,,,EX,A,,ARLE-0052,,
,"Arthurian Legends",ARLE,,Finwife,,,,O,W,,ARLE-0053,,
,"Arthurian Legends",ARLE,,Firebreathing,,,,EX,F,,ARLE-0054,,
,"Arthurian Legends",ARLE,,"Fisherman's Family",,,,O,W,,ARLE-0055,,
,"Arthurian Legends",ARLE,,"Foot Soldiers (Box Topper)",,,,O,0,,ARLE-0223,,
,"Arthurian Legends",ARLE,,Forge,,,,O,F,,ARLE-0056,,
,"Arthurian Legends",ARLE,,"Four Waters of Paradise",,,,UN,0,,ARLE-0057,,
,"Arthurian Legends",ARLE,,"Fourberie Knot",,,,EX,0,,ARLE-0058,,
,"Arthurian Legends",ARLE,,"Frisky Red Squirrel",,,,EX,E,,ARLE-0059,,
,"Arthurian Legends",ARLE,,"Funeral Pyre",,,,EX,F,,ARLE-0060,,
,"Arthurian Legends",ARLE,,"Giant Killer",,,,EX,W,,ARLE-0061,,
,"Arthurian Legends",ARLE,,"Glastonbury Tor",,,,UN,0,,ARLE-0062,,
,"Arthurian Legends",ARLE,,"Golden Harp",,,,EL,0,,ARLE-0063,,
,"Arthurian Legends",ARLE,,"Goswhit Helmet",,,,EL,0,,ARLE-0064,,
,"Arthurian Legends",ARLE,,"Grain Sparrow",,,,O,E,,ARLE-0065,,
,"Arthurian Legends",ARLE,,"Grand Old Boar",,,,EL,E,,ARLE-0066,,
,"Arthurian Legends",ARLE,,"Grievous Insult",,,,O,W,,ARLE-0067,,
,"Arthurian Legends",ARLE,,"Grim Guisarme",,,,EL,0,,ARLE-0068,,
,"Arthurian Legends",ARLE,,Guards!,,,,EL,E,,ARLE-0069,,
,"Arthurian Legends",ARLE,,Hamlet,,,,O,0,,ARLE-0070,,
,"Arthurian Legends",ARLE,,"Hamlet's Ablaze!",,,,O,F,,ARLE-0071,,
,"Arthurian Legends",ARLE,,"Harassing Ruffians",,,,O,F,,ARLE-0072,,
,"Arthurian Legends",ARLE,,"Helpful Hob",,,,O,W,,ARLE-0073,,
,"Arthurian Legends",ARLE,,"Horn of Caerleon",,,,EL,0,,ARLE-0074,,
,"Arthurian Legends",ARLE,,"Hunter's Lodge",,,,O,E,,ARLE-0075,,
,"Arthurian Legends",ARLE,,"Hunting Party",,,,EX,E,,ARLE-0076,,
,"Arthurian Legends",ARLE,,"Hyter Sprites",,,,O,A,,ARLE-0077,,
,"Arthurian Legends",ARLE,,"Impenetrable Copse",,,,EX,E,,ARLE-0078,,
,"Arthurian Legends",ARLE,,Invasion,,,,EL,F,,ARLE-0079,,
,"Arthurian Legends",ARLE,,"Iron Man Talus",,,,EX,0,,ARLE-0080,,
,"Arthurian Legends",ARLE,,Joust!,,,,O,F,,ARLE-0081,,
,"Arthurian Legends",ARLE,,"Joyous Garde",,,,UN,0,,ARLE-0082,,
,"Arthurian Legends",ARLE,,"Just a Rock",,,,O,0,,ARLE-0083,,
,"Arthurian Legends",ARLE,,"Keening Banshee",,,,O,A,,ARLE-0084,,
,"Arthurian Legends",ARLE,,"Kelp Cavern",,,,EL,W,,ARLE-0085,,
,"Arthurian Legends",ARLE,,"Kettletop Leprechaun",,,,O,E,,ARLE-0086,,
,"Arthurian Legends",ARLE,,"King Arthur",,,,UN,0,,ARLE-0087,,
,"Arthurian Legends",ARLE,,"King's Council",,,,EL,A,,ARLE-0088,,
,"Arthurian Legends",ARLE,,"Kingswood Poachers",,,,EX,W,,ARLE-0089,,
,"Arthurian Legends",ARLE,,Knighthood,,,,EX,E,,ARLE-0090,,
,"Arthurian Legends",ARLE,,"Lady Iseult",,,,UN,E,,ARLE-0091,,
,"Arthurian Legends",ARLE,,"Lake Afanc",,,,O,W,,ARLE-0092,,
,"Arthurian Legends",ARLE,,"Lance (Box Topper)",,,,0,0,,ARLE-0224,,
,"Arthurian Legends",ARLE,,"Lava Flow",,,,EX,F,,ARLE-0093,,
,"Arthurian Legends",ARLE,,"Led Astray",,,,O,W,,ARLE-0094,,
,"Arthurian Legends",ARLE,,"Leyline Henge",,,,O,0,,ARLE-0095,,
,"Arthurian Legends",ARLE,,Lookout,,,,O,A,,ARLE-0096,,
,"Arthurian Legends",ARLE,,"Love Potion",,,,EL,0,,ARLE-0097,,
,"Arthurian Legends",ARLE,,"Lugbog Cat",,,,EX,W,,ARLE-0098,,
,"Arthurian Legends",ARLE,,"Lumbering Giant",,,,O,F,,ARLE-0099,,
,"Arthurian Legends",ARLE,,"Magic Missiles",,,,O,A,,ARLE-0100,,
,"Arthurian Legends",ARLE,,"Major City",,,,EL,0,,ARLE-0101,,
,"Arthurian Legends",ARLE,,Merlin,,,,UN,A,,ARLE-0102,,
,"Arthurian Legends",ARLE,,"Merlin's Staff",,,,UN,0,,ARLE-0103,,
,"Arthurian Legends",ARLE,,"Merlin's Tower",,,,UN,A,,ARLE-0104,,
,"Arthurian Legends",ARLE,,Mesmerism,,,,UN,W,,ARLE-0105,,
,"Arthurian Legends",ARLE,,"Mester Stoor Worm",,,,EL,W,,ARLE-0106,,
,"Arthurian Legends",ARLE,,"Monstrous Lion",,,,EL,F,,ARLE-0107,,
,"Arthurian Legends",ARLE,,"Morgana le Fay",,,,UN,F,,ARLE-0108,,
,"Arthurian Legends",ARLE,,"Muirid Fomorians",,,,EX,W,,ARLE-0109,,
,"Arthurian Legends",ARLE,,"Nelly Longarms",,,,UN,W,,ARLE-0110,,
,"Arthurian Legends",ARLE,,"Ominous Owl",,,,O,A,,ARLE-0111,,
,"Arthurian Legends",ARLE,,"Overbearing Bailiff",,,,EL,E,,ARLE-0112,,
,"Arthurian Legends",ARLE,,"Peasant Revolt",,,,UN,F,,ARLE-0113,,
,"Arthurian Legends",ARLE,,"Pebbled Paths",,,,EX,E,,ARLE-0114,,
,"Arthurian Legends",ARLE,,"Pendragon Banner",,,,EL,0,,ARLE-0115,,
,"Arthurian Legends",ARLE,,"Pendragon Legacy",,,,UN,E,,ARLE-0116,,
,"Arthurian Legends",ARLE,,"Perilous Bridge",,,,EL,A,,ARLE-0117,,
,"Arthurian Legends",ARLE,,"Pigs of the Sounder",,,,EX,E,,ARLE-0118,,
,"Arthurian Legends",ARLE,,"Poisoned Well",,,,EX,F,,ARLE-0119,,
,"Arthurian Legends",ARLE,,Pond,,,,O,W,,ARLE-0120,,
,"Arthurian Legends",ARLE,,Pookas,,,,EX,F,,ARLE-0121,,
,"Arthurian Legends",ARLE,,"Postern Gate",,,,EL,0,,ARLE-0122,,
,"Arthurian Legends",ARLE,,"Power of Flight",,,,O,A,,ARLE-0123,,
,"Arthurian Legends",ARLE,,"Purple Knight",,,,EX,0,,ARLE-0124,,
,"Arthurian Legends",ARLE,,"Queen Guinevere",,,,UN,0,,ARLE-0125,,
,"Arthurian Legends",ARLE,,"Questing Beast",,,,UN,W,,ARLE-0126,,
,"Arthurian Legends",ARLE,,Rebecks,,,,UN,F,,ARLE-0127,,
,"Arthurian Legends",ARLE,,"Reckless Squire",,,,O,F,,ARLE-0128,,
,"Arthurian Legends",ARLE,,"Redbreast Robin",,,,O,F,,ARLE-0129,,
,"Arthurian Legends",ARLE,,"Redcap Powries",,,,EX,F,,ARLE-0130,,
,"Arthurian Legends",ARLE,,Rescue,,,,O,E,,ARLE-0131,,
,"Arthurian Legends",ARLE,,"Rhitta Gawr of Snowdonia",,,,UN,E,,ARLE-0132,,
,"Arthurian Legends",ARLE,,Rhongomyniad,,,,UN,0,,ARLE-0133,,
,"Arthurian Legends",ARLE,,"Ribble Boggart",,,,EL,W,,ARLE-0134,,
,"Arthurian Legends",ARLE,,"Ring of Morrigan",,,,UN,0,,ARLE-0135,,
,"Arthurian Legends",ARLE,,"Salmon of Knowledge",,,,EL,W,,ARLE-0136,,
,"Arthurian Legends",ARLE,,"Saracen Raiders",,,,EX,F,,ARLE-0137,,
,"Arthurian Legends",ARLE,,"Saracen Scout",,,,O,F,,ARLE-0138,,
,"Arthurian Legends",ARLE,,"Seelie Court",,,,EL,W,,ARLE-0139,,
,"Arthurian Legends",ARLE,,"Shameless Squire",,,,O,W,,ARLE-0140,,
,"Arthurian Legends",ARLE,,Shapeshift,,,,EL,W,,ARLE-0141,,
,"Arthurian Legends",ARLE,,"Shatter Strike",,,,EX,F,,ARLE-0142,,
,"Arthurian Legends",ARLE,,Shellycoat,,,,O,W,,ARLE-0143,,
,"Arthurian Legends",ARLE,,"Sherwood Huntress",,,,O,A,,ARLE-0144,,
,"Arthurian Legends",ARLE,,"Siege Giant",,,,EX,F,,ARLE-0145,,
,"Arthurian Legends",ARLE,,"Sir Agravaine",,,,UN,0,,ARLE-0146,,
,"Arthurian Legends",ARLE,,"Sir Balin",,,,UN,0,,ARLE-0147,,
,"Arthurian Legends",ARLE,,"Sir Bedivere",,,,UN,0,,ARLE-0148,,
,"Arthurian Legends",ARLE,,"Sir Bors the Younger",,,,UN,0,,ARLE-0149,,
,"Arthurian Legends",ARLE,,"Sir Gaheris",,,,UN,0,,ARLE-0150,,
,"Arthurian Legends",ARLE,,"Sir Galahad",,,,UN,0,,ARLE-0151,,
,"Arthurian Legends",ARLE,,"Sir Gareth",,,,UN,0,,ARLE-0152,,
,"Arthurian Legends",ARLE,,"Sir Gawain",,,,UN,0,,ARLE-0153,,
,"Arthurian Legends",ARLE,,"Sir Ironside",,,,UN,0,,ARLE-0154,,
,"Arthurian Legends",ARLE,,"Sir Kay",,,,UN,0,,ARLE-0155,,
,"Arthurian Legends",ARLE,,"Sir Lamorak",,,,UN,0,,ARLE-0156,,
,"Arthurian Legends",ARLE,,"Sir Lancelot",,,,UN,0,,ARLE-0157,,
,"Arthurian Legends",ARLE,,"Sir Mordred",,,,UN,0,,ARLE-0158,,
,"Arthurian Legends",ARLE,,"Sir Morien",,,,UN,0,,ARLE-0159,,
,"Arthurian Legends",ARLE,,"Sir Pelleas",,,,UN,0,,ARLE-0160,,
,"Arthurian Legends",ARLE,,"Sir Pellinore",,,,UN,0,,ARLE-0161,,
,"Arthurian Legends",ARLE,,"Sir Perceval",,,,UN,0,,ARLE-0162,,
,"Arthurian Legends",ARLE,,"Sir Priamus",,,,UN,0,,ARLE-0163,,
,"Arthurian Legends",ARLE,,"Sir Tom Thumb",,,,UN,0,,ARLE-0164,,
,"Arthurian Legends",ARLE,,"Sir Tristan",,,,UN,0,,ARLE-0165,,
,"Arthurian Legends",ARLE,,"Sir Yvain",,,,UN,0,,ARLE-0166,,
,"Arthurian Legends",ARLE,,"Sisters of Avalon",,,,EX,A,,ARLE-0167,,
,"Arthurian Legends",ARLE,,"Sly Fox",,,,O,W,,ARLE-0168,,
,"Arthurian Legends",ARLE,,Snowball,,,,EX,W,,ARLE-0169,,
,"Arthurian Legends",ARLE,,Spearmarshal,,,,EL,E,,ARLE-0170,,
,"Arthurian Legends",ARLE,,Squeakers,,,,O,E,,ARLE-0171,,
,"Arthurian Legends",ARLE,,"Stealth (Box Topper)",,,,0,0,,ARLE-0225,,
,"Arthurian Legends",ARLE,,"Stone Rain",,,,EX,E,,ARLE-0172,,
,"Arthurian Legends",ARLE,,"Sugarplum Pixies",,,,EX,W,,ARLE-0173,,
,"Arthurian Legends",ARLE,,"Swindler Troupe",,,,O,W,,ARLE-0174,,
,"Arthurian Legends",ARLE,,"Sword and Shield",,,,EX,0,,ARLE-0175,,
,"Arthurian Legends",ARLE,,"Sylvan Splendor",,,,EL,W,,ARLE-0176,,
,"Arthurian Legends",ARLE,,"Tactical Move",,,,O,A,,ARLE-0177,,
,"Arthurian Legends",ARLE,,"Tawny (Box Topper)",,,,UN,0,,ARLE-0226,,
,"Arthurian Legends",ARLE,,"Tax Collector",,,,O,E,,ARLE-0178,,
,"Arthurian Legends",ARLE,,"Templar (Box Topper)",,,,EL,0,,ARLE-0227,,
,"Arthurian Legends",ARLE,,"Thankless Squire",,,,O,E,,ARLE-0179,,
,"Arthurian Legends",ARLE,,"The Black Plague",,,,UN,A,,ARLE-0180,,
,"Arthurian Legends",ARLE,,"The Faerie Queene",,,,UN,A,,ARLE-0181,,
,"Arthurian Legends",ARLE,,"The Great Drowning of Men",,,,UN,W,,ARLE-0182,,
,"Arthurian Legends",ARLE,,"The Great Famine",,,,UN,F,,ARLE-0183,,
,"Arthurian Legends",ARLE,,"The Green Knight",,,,UN,W,,ARLE-0184,,
,"Arthurian Legends",ARLE,,"The Lady of the Lake",,,,UN,W,,ARLE-0185,,
,"Arthurian Legends",ARLE,,"The Ninth Legion",,,,UN,A,,ARLE-0186,,
,"Arthurian Legends",ARLE,,"The Round Table",,,,UN,0,,ARLE-0187,,
,"Arthurian Legends",ARLE,,"The Wild Hunt",,,,EL,A,,ARLE-0188,,
,"Arthurian Legends",ARLE,,"Thieving Magpie",,,,O,W,,ARLE-0189,,
,"Arthurian Legends",ARLE,,"Thundering Giant",,,,EL,A,,ARLE-0190,,
,"Arthurian Legends",ARLE,,Tintagel,,,,UN,0,,ARLE-0191,,
,"Arthurian Legends",ARLE,,Tithe,,,,UN,E,,ARLE-0192,,
,"Arthurian Legends",ARLE,,"Tooth Faeries",,,,EX,A,,ARLE-0193,,
,"Arthurian Legends",ARLE,,"Tournament Grounds",,,,EX,0,,ARLE-0194,,
,"Arthurian Legends",ARLE,,Town,,,,EX,0,,ARLE-0195,,
,"Arthurian Legends",ARLE,,"Treetop Hideout",,,,O,A,,ARLE-0196,,
,"Arthurian Legends",ARLE,,"Troll Bridge",,,,EX,W,,ARLE-0197,,
,"Arthurian Legends",ARLE,,"Unseelie Court",,,,EL,A,,ARLE-0198,,
,"Arthurian Legends",ARLE,,"Valley of Delight",,,,EL,0,,ARLE-0199,,
,"Arthurian Legends",ARLE,,Valor,,,,EL,E,,ARLE-0200,,
,"Arthurian Legends",ARLE,,Vanishment,,,,EX,A,,ARLE-0201,,
,"Arthurian Legends",ARLE,,"Varmint Warrens",,,,EL,E,,ARLE-0202,,
,"Arthurian Legends",ARLE,,"Vengeful Heir",,,,EL,F,,ARLE-0203,,
,"Arthurian Legends",ARLE,,"Verdant Knight",,,,EX,0,,ARLE-0204,,
,"Arthurian Legends",ARLE,,Vikings,,,,O,F,,ARLE-0205,,
,"Arthurian Legends",ARLE,,"Vivien the Enchantress",,,,UN,E,,ARLE-0206,,
,"Arthurian Legends",ARLE,,"Wall of Brambles",,,,O,E,,ARLE-0207,,
,"Arthurian Legends",ARLE,,"War Horse",,,,EX,F,,ARLE-0208,,
,"Arthurian Legends",ARLE,,"Wedding Hall",,,,EL,0,,ARLE-0209,,
,"Arthurian Legends",ARLE,,"Weightless Squire",,,,O,A,,ARLE-0210,,
,"Arthurian Legends",ARLE,,Whirlwind,,,,EX,A,,ARLE-0211,,
,"Arthurian Legends",ARLE,,"White Hart",,,,UN,E,,ARLE-0212,,
,"Arthurian Legends",ARLE,,"White Knight",,,,EX,0,,ARLE-0213,,
,"Arthurian Legends",ARLE,,Witch,,,,UN,0,,ARLE-0214,,
,"Arthurian Legends",ARLE,,"Wizard's Den",,,,EL,0,,ARLE-0215,,
,"Arthurian Legends",ARLE,,Wolpertinger,,,,EL,E,,ARLE-0216,,
,"Arthurian Legends",ARLE,,"Wormelow Tump",,,,UN,E,,ARLE-0217,,
,"Arthurian Legends",ARLE,,Wyvern,,,,EX,E,,ARLE-0218,,
,"Arthurian Legends",ARLE,,"Year of the Blaze",,,,UN,F,,ARLE-0219,,
,"Arthurian Legends",ARLE,,"Yellow Knight",,,,EX,0,,ARLE-0220,,
